,,,,,,,,
Mesin,Kode Part,Part,Qty ,Category,Penggantian Terakhir,Lifetime (Bulan),Penggantian Selanjutnya,STATUS
SIG 6,SPMECU0043,Flexible Coupling MJT-20C-BL NBK,,,,16,,
SIG 6,SPMETA0001,"Isolasi Listrik 20 MM x 3/4"" x 0,18 M",,Desirable,,,,
SIG 6,SPECMC0008,MCB NC45N C16 16A 1 Ph Merlin Gerin,,,,,,
SIG 6,SPMEOR0130,O Ring 25 x 4,,,31/05/2022,,,
SIG 6,SPMEOR0135,O Ring 28 x 4 Vitton,,,06/07/2024,6,06/01/2025,Melewati Jadwal Penggantian
SIG 6,SPMEOR0146,O Ring 42 x 4,,,01/10/2022,1,01/11/2022,Melewati Jadwal Penggantian
SIG 6,SPSVGE0013,Planetary Gear Box Cross Knife u/ shaft motor 19mm,,,24/02/2022,,,
SIG 6,SPMERL0053,Power Device Cartridge G32A-A10-VD DC5-24 Omron,,,20/08/2021,,,
SIG 6,SPSVSS0002,Product Sensor CM18-12NPP-KC1 Sick,2,,06/01/2025,18,06/07/2026,444 Hari Lagi
SIG 6,SPIPCN0002,Rotary Connector 4A Model 205 (Incld 592 & 595),,,,,,
SIG 6,SPMESL0283,"Seal Bin Hopper dia. 4"" Silicone",1,,,,,
SIG 6,SPSVCT0008,Simodrive 6SN1118-0AE11-0AA1 Siemens,1,,29/06/2024,36,29/06/2027,802 Hari Lagi
SIG 6,SPSVCT0006,Simodrive IP 6SN1123-1AB00-OHA1 Siemens,1,,29/06/2024,36,29/06/2027,802 Hari Lagi
SIG 6,SPSVKF0002,Slitting Blade 35 x 9 x 9,,,25/01/2025,,,
SIG 6,SPMEFT0043,Speed Control Fitting GRLA-1/8-QS-6-RS-B Festo,,,,36,,
SIG 6,SPSVTP0006,Thermocouple RTD PT100-0 dia. 1.88 x 1.6 x 3.97 x 155 MM,,,26/10/2023,36,26/10/2026,556 Hari Lagi
